competition_id,competition_name,competition_country_name,season_id,season_name,match_id,match_date,kick_off,stadium,id,period,minute,second,timestamp,timezone,datetime,goal_datetime
11,La Liga,Spain,21,2009/2010,69242,2010-05-16,19:00:00.000,Spotify Camp Nou,0f7c36fc-7e41-4a57-af69-f55e3988941f,2,75,53,00:30:53.886,Europe/Madrid,2010-05-16 17:00:00+00:00,2010-05-16 18:30:53+00:00
11,La Liga,Spain,22,2010/2011,69286,2010-08-29,19:00:00.000,Campos de Sport de El Sardinero,1d9449b3-fe6f-4b26-801b-c1ba22d828b8,1,2,35,00:02:35.255,Europe/Madrid,2010-08-29 17:00:00+00:00,2010-08-29 17:02:35+00:00
11,La Liga,Spain,22,2010/2011,69269,2010-09-19,19:00:00.000,Estadio Vicente Calderón,9b7eac95-c388-4786-a1eb-7217324d19bd,1,12,53,00:12:53.393,Europe/Madrid,2010-09-19 17:00:00+00:00,2010-09-19 17:12:53+00:00
11,La Liga,Spain,22,2010/2011,69236,2010-10-03,19:00:00.000,Spotify Camp Nou,3c6e429b-48e9-4722-a343-5d3df4421258,1,20,35,00:20:35.430,Europe/Madrid,2010-10-03 17:00:00+00:00,2010-10-03 17:20:35+00:00
11,La Liga,Spain,22,2010/2011,69263,2010-10-23,18:00:00.000,Estadio de la Romareda,594e86ea-ebce-451c-9e88-0682d236c3bf,1,41,18,00:41:18.290,Europe/Madrid,2010-10-23 16:00:00+00:00,2010-10-23 16:41:18+00:00
11,La Liga,Spain,22,2010/2011,69263,2010-10-23,18:00:00.000,Estadio de la Romareda,9552e537-9057-472e-995c-34b3a761a364,2,65,39,00:20:39.678,Europe/Madrid,2010-10-23 16:00:00+00:00,2010-10-23 17:20:39+00:00
11,La Liga,Spain,22,2010/2011,69289,2010-10-30,22:00:00.000,Spotify Camp Nou,b62636a0-1991-4b5a-bd32-3aa40fc02f18,1,3,40,00:03:40.094,Europe/Madrid,2010-10-30 20:00:00+00:00,2010-10-30 20:03:40+00:00
11,La Liga,Spain,22,2010/2011,69289,2010-10-30,22:00:00.000,Spotify Camp Nou,db4b5ab7-b084-416d-9760-ba20bd154422,2,63,10,00:18:10.491,Europe/Madrid,2010-10-30 20:00:00+00:00,2010-10-30 21:18:10+00:00
11,La Liga,Spain,22,2010/2011,69270,2010-11-07,19:00:00.000,Coliseum Alfonso Pérez,b258bb22-6e78-4341-a797-d516b4417774,1,22,29,00:22:29.128,Europe/Madrid,2010-11-07 18:00:00+00:00,2010-11-07 18:22:29+00:00
11,La Liga,Spain,22,2010/2011,69308,2010-11-13,22:00:00.000,Spotify Camp Nou,cb1d5ad3-2ff4-4ea0-82a8-548350c07c49,2,57,49,00:12:49.950,Europe/Madrid,2010-11-13 21:00:00+00:00,2010-11-13 22:12:49+00:00
11,La Liga,Spain,22,2010/2011,69308,2010-11-13,22:00:00.000,Spotify Camp Nou,40909454-6b0b-43e0-8733-148ecf7e2453,2,82,45,00:37:45.376,Europe/Madrid,2010-11-13 21:00:00+00:00,2010-11-13 22:37:45+00:00
11,La Liga,Spain,22,2010/2011,69306,2010-11-20,20:00:00.000,Power Horse Stadium – Estadio de los Juegos Mediterráneos,548cec60-dfe0-4362-9281-97b648997bc6,1,16,14,00:16:14.177,Europe/Madrid,2010-11-20 19:00:00+00:00,2010-11-20 19:16:14+00:00
11,La Liga,Spain,22,2010/2011,69306,2010-11-20,20:00:00.000,Power Horse Stadium – Estadio de los Juegos Mediterráneos,5ac30a49-e8f6-406a-9a4b-2af903323126,1,36,6,00:36:06.586,Europe/Madrid,2010-11-20 19:00:00+00:00,2010-11-20 19:36:06+00:00
